ORD;LOGRADOURO;NÚMERO;id_imovel;ZONA;TIPO;STATUS;COMPLEMENTO;RISCO;bairro;PROCESSO;EDITAL;FOTO;LONGITUDE;LATITUDE
29;Rua Desembargador Freitas;1610;Rua Desembargador Freitas, Número 1610 , Bairro Centro - Teresina/PI;Norte;Prédio;Abandonado;;;Centro;00027.005583/2024-42;45627;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-12-2024.jpg;-42,81288831;-5,08564661
207;Rua Riachuelo;S/Nº;Rua Riachuelo, Número S/Nº (Ao lado do nº 36), Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;(Ao lado do nº 36);;Centro;00027.005683/2024-79;85-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-85-2024.jpg;-42,81667182;-5,093736388
51;Rua Lisandro Nogueira;1698;Rua Lisandro Nogueira, Número 1698 , Bairro Centro - Teresina/PI;Norte;Terreno;Abandonado;;;Centro;00027.005605/2024-74;25-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-25-2024.jpg;-42,81175385;-5,08608018
210;Rua Riachuelo;S/Nº;Rua Riachuelo, Número S/Nº (Ao lado do nº928), Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;(Ao lado do nº928);;Centro;00027.005686/2024-11;88-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-88-2024.jpg;-42,81322688;-5,100527517
52;Rua Lisandro Nogueira;1693;Rua Lisandro Nogueira, Número 1693 , Bairro Centro - Teresina/PI;Norte;Terreno;Abandonado;;;Centro;00027.005606/2024-19;26-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-26-2024.jpg;-42,81186456;-5,08592698
94;Rua Eliseu Martins;1542;Rua Eliseu Martins, Número 1542 , Bairro Centro - Teresina/PI;Norte;Prédio;Abandonado;;;Centro;00027.005630/2024-58;40-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-40-2024.jpg;-42,81232502;-5,088216089
99;Rua Eliseu Martins;1570;Rua Eliseu Martins, Número 1570 , Bairro Centro - Teresina/PI;Norte;Prédio;Abandonado;;;Centro;00027.005634/2024-36;42-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-42-2024.jpg;-42,81180527;-5,08800872
119;Rua Álvaro Mendes;1431;Rua Álvaro Mendes, Número 1431 , Bairro Centro - Teresina/PI;Norte;Prédio;Abandonado;;;Centro;00027.005640/2024-93;48-2023;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-48-2023.jpg;-42,81246778;-5,089881
146;Rua Paissandu;1699;Rua Paissandu, Número 1699 , Bairro Centro - Teresina/PI;Sul;Prédio;Abandonado;;;Centro;00027.005647/2024-13;55-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-55-2024.jpg;-42,80947555;-5,09047173
185;Rua Olavo Bilac;S/Nº;Rua Olavo Bilac, Número S/Nº (Ao lado do nº 1010), Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;(Ao lado do nº 1010);;Centro;00027.005663/2024-06;68-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-68-2024.jpg;-42,81352843;-5,095878787
